session_id,source_file,condition,family,omission_slot,unit_axis_index,metric_name,window_name,alignment_event,time_base,window_ms,baseline_ms,n_raw_behavioral_trials,rate_hz,contrast_name,contrast_value_hz,effect_size_name,effect_size_value,raw_p_value,q_value,correction_scope,candidate_threshold_passed,biological_interpretation_allowed,area_hierarchy_allowed,manuscript_safe_response_class,warnings
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,8,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,0.039,stimulus_vs_baseline,0.039,Cohens_d,-0.098,0.317311,0.796943,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,9,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,1.333,stimulus_vs_baseline,1.333,Cohens_d,0.723,0.002520,0.018384,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,9,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,3.296,stimulus_vs_baseline,3.296,Cohens_d,0.723,0.002520,0.018384,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,10,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,2.583,stimulus_vs_baseline,2.583,Cohens_d,0.886,0.000515,0.004537,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,10,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,4.944,stimulus_vs_baseline,4.944,Cohens_d,0.886,0.000515,0.004537,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,11,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,2.750,stimulus_vs_baseline,2.750,Cohens_d,0.574,0.029960,0.153644,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,11,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,4.433,stimulus_vs_baseline,4.433,Cohens_d,0.574,0.029960,0.153644,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,12,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,3.000,stimulus_vs_baseline,3.000,Cohens_d,-0.175,0.178592,0.574225,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,12,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,2.472,stimulus_vs_baseline,2.472,Cohens_d,-0.175,0.178592,0.574225,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,13,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,0.583,stimulus_vs_baseline,0.583,Cohens_d,-0.668,0.001777,0.013448,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,13,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,0.000,stimulus_vs_baseline,0.000,Cohens_d,-0.668,0.001777,0.013448,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,14,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,2.583,stimulus_vs_baseline,2.583,Cohens_d,-0.232,0.090380,0.367700,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,14,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,2.040,stimulus_vs_baseline,2.040,Cohens_d,-0.232,0.090380,0.367700,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,15,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,1.875,stimulus_vs_baseline,1.875,Cohens_d,1.125,0.000115,0.001197,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,15,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,4.394,stimulus_vs_baseline,4.394,Cohens_d,1.125,0.000115,0.001197,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,16,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,1.167,stimulus_vs_baseline,1.167,Cohens_d,1.634,0.000000,0.000002,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,16,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,5.414,stimulus_vs_baseline,5.414,Cohens_d,1.634,0.000000,0.000002,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,17,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,3.292,stimulus_vs_baseline,3.292,Cohens_d,-0.852,0.000007,0.000102,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,17,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,1.216,stimulus_vs_baseline,1.216,Cohens_d,-0.852,0.000007,0.000102,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,18,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,3.083,stimulus_vs_baseline,3.083,Cohens_d,-0.163,0.292928,0.796943,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,18,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,2.589,stimulus_vs_baseline,2.589,Cohens_d,-0.163,0.292928,0.796943,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,19,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,14.292,stimulus_vs_baseline,14.292,Cohens_d,0.656,0.007018,0.044865,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,19,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,28.249,stimulus_vs_baseline,28.249,Cohens_d,0.656,0.007018,0.044865,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,20,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,1.208,stimulus_vs_baseline,1.208,Cohens_d,0.073,0.821638,1.000000,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,20,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,1.334,stimulus_vs_baseline,1.334,Cohens_d,0.073,0.821638,1.000000,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,21,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,2.208,stimulus_vs_baseline,2.208,Cohens_d,0.920,0.001238,0.009735,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,21,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,4.590,stimulus_vs_baseline,4.590,Cohens_d,0.920,0.001238,0.009735,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,22,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,3.667,stimulus_vs_baseline,3.667,Cohens_d,1.937,0.000000,0.000000,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,22,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,11.535,stimulus_vs_baseline,11.535,Cohens_d,1.937,0.000000,0.000000,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,23,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,5.167,stimulus_vs_baseline,5.167,Cohens_d,0.400,0.098606,0.394097,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,23,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,6.434,stimulus_vs_baseline,6.434,Cohens_d,0.400,0.098606,0.394097,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,24,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,1.000,stimulus_vs_baseline,1.000,Cohens_d,1.341,0.000003,0.000041,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,24,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,4.277,stimulus_vs_baseline,4.277,Cohens_d,1.341,0.000003,0.000041,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,25,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,0.000,stimulus_vs_baseline,0.000,Cohens_d,0.000,1.000000,1.000000,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,25,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,0.000,stimulus_vs_baseline,0.000,Cohens_d,0.000,1.000000,1.000000,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,26,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,8.542,stimulus_vs_baseline,8.542,Cohens_d,0.718,0.000357,0.003270,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,26,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,11.221,stimulus_vs_baseline,11.221,Cohens_d,0.718,0.000357,0.003270,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,27,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,2.833,stimulus_vs_baseline,2.833,Cohens_d,-0.047,0.914260,1.000000,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,27,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,2.668,stimulus_vs_baseline,2.668,Cohens_d,-0.047,0.914260,1.000000,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,28,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,0.042,stimulus_vs_baseline,0.042,Cohens_d,0.198,0.705457,1.000000,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,28,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,0.118,stimulus_vs_baseline,0.118,Cohens_d,0.198,0.705457,1.000000,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,29,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,5.917,stimulus_vs_baseline,5.917,Cohens_d,-0.945,0.000037,0.000440,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,29,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,2.668,stimulus_vs_baseline,2.668,Cohens_d,-0.945,0.000037,0.000440,within_session_all_units_all_primary_contrasts,true,false,false,false,None
