"id","session","area","resolved_area","mapping_status","is_omission_positive","omission_rate","control_rate","baseline_rate"
"230629-probe0-unit48","230629","V1","V1","heuristic_fallback","False","0.35059331175836034","1.2521960240406842","0.5339805825242718"
"230629-probe0-unit49","230629","V1","V1","heuristic_fallback","False","1.9956850053937432","11.67128987517337","3.036677454153182"
"230629-probe0-unit50","230629","V1","V1","heuristic_fallback","False","1.1488673139158576","10.269147788565263","1.2081984897518878"
"230629-probe0-unit51","230629","V1","V1","heuristic_fallback","False","3.3063646170442285","5.726537216828479","2.2761596548004315"
"230629-probe0-unit52","230629","V1","V1","heuristic_fallback","False","6.138079827400215","11.793959007551239","4.449838187702265"
"230629-probe0-unit53","230629","V1","V1","heuristic_fallback","False","0.29126213592233013","2.0520110957004163","0.38834951456310685"
"230629-probe0-unit54","230629","V1","V1","heuristic_fallback","False","5.5231930960086295","8.89243334874403","5.528586839266451"
"230629-probe0-unit55","230629","V1","V1","heuristic_fallback","False","4.056094929881337","1.243180767452612","4.314994606256743"
"230629-probe0-unit56","230629","V1","V1","heuristic_fallback","False","0.0","0.0","0.0"
"230629-probe0-unit57","230629","V1","V1","heuristic_fallback","True","7.766990291262136","2.326475574048389","4.06688241639698"
"230629-probe0-unit58","230629","V1","V1","heuristic_fallback","False","1.634304207119741","6.267529665587918","1.6181229773462782"
"230629-probe0-unit59","230629","V1","V1","heuristic_fallback","False","0.8414239482200646","1.0993219294190166","0.9223300970873787"
"230629-probe0-unit60","230629","V1","V1","heuristic_fallback","False","0.0","0.007705347511172755","0.0"
"230629-probe0-unit61","230629","V1","V1","heuristic_fallback","False","0.0","0.05424564647865619","0.0"
"230629-probe0-unit62","230629","V1","V1","heuristic_fallback","False","1.4455231930960086","1.2357065803667744","0.8036677454153183"
"230629-probe0-unit63","230629","V1","V1","heuristic_fallback","False","0.0","0.020650331329942977","0.08090614886731391"
"230629-probe0-unit64","230629","V1","V1","heuristic_fallback","False","3.6677454153182314","13.018955154877485","3.19848975188781"
"230629-probe0-unit65","230629","V1","V1","heuristic_fallback","False","2.535059331175836","3.5423794113114497","0.8036677454153183"
"230629-probe0-unit66","230629","V1","V1","heuristic_fallback","False","6.407766990291262","17.051009400523963","5.3883495145631075"
"230629-probe0-unit67","230629","V1","V1","heuristic_fallback","False","0.37216828478964403","0.36523347202958856","0.16181229773462782"
"230629-probe0-unit68","230629","V1","V1","heuristic_fallback","False","4.185544768069039","2.5815225766682075","5.361380798274002"
"230629-probe0-unit69","230629","V1","V1","heuristic_fallback","False","5.906148867313915","5.319540761288333","5.825242718446602"
"230629-probe0-unit70","230629","V1","V1","heuristic_fallback","False","3.4196332254584685","8.63291724456773","2.389428263214671"
"230629-probe0-unit71","230629","V1","V1","heuristic_fallback","False","3.932038834951457","4.077438742487286","3.4843581445523193"
"230629-probe0-unit72","230629","V1","V1","heuristic_fallback","False","0.08090614886731391","0.06472491909385114","0.08090614886731391"
"230629-probe0-unit73","230629","V1","V1","heuristic_fallback","False","0.0","0.007705347511172755","0.0"
"230629-probe0-unit74","230629","V1","V1","heuristic_fallback","False","0.0","0.023116042533518264","0.0"
"230629-probe0-unit75","230629","V1","V1","heuristic_fallback","False","0.0","0.0","0.12944983818770228"
"230629-probe0-unit76","230629","V1","V1","heuristic_fallback","False","1.2513484358144553","0.3341809215595623","1.0787486515641858"
"230629-probe0-unit77","230629","V1","V1","heuristic_fallback","True","3.6893203883495147","0.38896594236400067","0.970873786407767"
"230629-probe0-unit78","230629","V1","V1","heuristic_fallback","True","3.3926645091693635","0.393666204345816","2.0010787486515644"
"230629-probe0-unit79","230629","V1","V1","heuristic_fallback","False","0.0","0.0341346894744953","0.0"
"230629-probe0-unit80","230629","V1","V1","heuristic_fallback","False","0.08090614886731391","0.3367236862382494","0.21574973031283712"
"230629-probe0-unit81","230629","V1","V1","heuristic_fallback","False","0.43149946062567424","0.3178455848358761","0.45307443365695793"
"230629-probe0-unit82","230629","V1","V1","heuristic_fallback","False","0.0","0.0","0.0"
"230629-probe0-unit83","230629","V1","V1","heuristic_fallback","False","10.145631067961165","23.154646324549237","13.646170442286948"
"230629-probe0-unit84","230629","V1","V1","heuristic_fallback","False","7.971952535059333","3.4650947757743875","9.913700107874867"
"230629-probe0-unit85","230629","V1","V1","heuristic_fallback","False","0.45307443365695793","0.3451225150254276","0.0"
"230629-probe0-unit86","230629","V1","V1","heuristic_fallback","False","4.050701186623517","15.346894744952996","9.47141316073355"
"230629-probe0-unit87","230629","V1","V1","heuristic_fallback","False","2.1035598705501615","1.4184003698566805","1.262135922330097"
"230629-probe0-unit88","230629","V1","V1","heuristic_fallback","False","0.5555555555555556","2.4100015410695024","0.8737864077669903"
"230629-probe0-unit89","230629","V1","V1","heuristic_fallback","False","1.0571736785329018","0.6890892279241794","1.0032362459546924"
"230629-probe0-unit90","230629","V1","V1","heuristic_fallback","False","0.10787486515641856","0.35668053629218677","0.0"
"230629-probe0-unit91","230629","V1","V1","heuristic_fallback","False","0.0","0.007705347511172755","0.0"
"230629-probe0-unit92","230629","V1","V1","heuristic_fallback","False","0.0","0.06773000462320852","0.08090614886731391"
"230629-probe0-unit93","230629","V1","V1","heuristic_fallback","False","2.4811218985976264","2.739173986746802","2.912621359223301"
"230629-probe0-unit94","230629","V1","V1","heuristic_fallback","False","6.693635382955772","15.400601017105872","7.756202804746495"
"230629-probe0-unit95","230629","V1","V1","heuristic_fallback","False","3.2686084142394822","2.600631838495916","1.6127292340884571"
"230629-probe0-unit96","230629","V1","V1","heuristic_fallback","False","0.0","0.039913700107874865","0.0"
"230629-probe0-unit97","230629","V1","V1","heuristic_fallback","False","0.21574973031283712","0.09385113268608414","0.21574973031283712"
"230629-probe0-unit98","230629","V1","V1","heuristic_fallback","False","1.8932038834951457","1.4047619047619044","1.202804746494067"
"230629-probe0-unit99","230629","V1","V1","heuristic_fallback","False","3.290183387270766","2.144012944983819","3.187702265372168"
"230629-probe0-unit100","230629","V1","V1","heuristic_fallback","False","1.9093851132686084","11.580212667591308","3.0960086299892127"
"230629-probe0-unit101","230629","V1","V1","heuristic_fallback","False","2.254584681769148","2.666512559716443","1.1650485436893203"
"230629-probe0-unit102","230629","V1","V1","heuristic_fallback","False","3.6623516720604097","2.0171058714748034","1.8446601941747574"
"230629-probe0-unit103","230629","V1","V1","heuristic_fallback","False","0.35059331175836034","2.850053937432578","1.2081984897518878"
"230629-probe0-unit104","230629","V1","V1","heuristic_fallback","True","6.2459546925566345","2.2947295423023575","1.8176914778856528"
"230629-probe0-unit105","230629","V1","V1","heuristic_fallback","False","4.8705501618122975","15.953844968408074","5.771305285868393"
"230629-probe0-unit106","230629","V1","V1","heuristic_fallback","False","12.664509169363535","20.211203575281246","12.637540453074433"
"230629-probe0-unit107","230629","V1","V1","heuristic_fallback","False","5.2481121898597625","5.094159346586531","4.973031283710895"
"230629-probe0-unit108","230629","V1","V1","heuristic_fallback","False","7.988133764832794","10.30782863307135","6.677454153182309"
"230629-probe0-unit109","230629","V1","V1","heuristic_fallback","False","0.45307443365695793","1.307135151795346","0.6148867313915857"
"230629-probe0-unit110","230629","V1","V1","heuristic_fallback","False","0.32362459546925565","0.5879180151024811","0.8198489751887811"
"230629-probe0-unit111","230629","V1","V1","heuristic_fallback","False","0.9277238403451994","4.563723223917399","2.017259978425027"
"230629-probe0-unit112","230629","V1","V1","heuristic_fallback","False","1.8122977346278317","4.890661118816459","2.869471413160733"
"230629-probe0-unit113","230629","V1","V1","heuristic_fallback","False","5.949298813376483","11.638002773925104","4.6655879180151025"
"230629-probe0-unit114","230629","V1","V1","heuristic_fallback","False","13.522114347357066","8.721991061796887","13.193096008629988"
"230629-probe0-unit115","230629","V1","V1","heuristic_fallback","False","0.0","0.08090614886731391","0.0"
"230629-probe0-unit116","230629","V1","V1","heuristic_fallback","False","0.0","0.01541069502234551","0.0"
"230629-probe0-unit117","230629","V1","V1","heuristic_fallback","False","0.0","0.0","0.0"
"230629-probe0-unit118","230629","V1","V1","heuristic_fallback","False","1.8878101402373246","1.9604715672676838","1.6450916936353828"
