session_id,n_units_total,n_recovered_heuristic_equal_segment,n_source_probe_resolved_but_channel_unresolvable,n_unresolved_no_candidate_metadata
230629,354,354,0,0
230630,88,29,59,0
230714,423,423,0,0
230719,288,288,0,0
230720,181,181,0,0
230721,220,57,163,0
230816,141,102,12,27
230818,192,192,0,0
230823,193,156,18,19
230825,173,173,0,0
230830,513,136,377,0
230831,247,137,110,0
230901,508,508,0,0
