original_a8_3_status,n_units,n_geometry_resolved_candidate,n_recovered_heuristic_equal_segment,n_unresolved_no_candidate_metadata
provisional_unit_area_from_count_matched_row_order,793,436,357,0
unmapped_no_metadata,2728,303,2379,46
