session_id,condition,has_spk,has_sua,has_muae,has_lfp,spk_shape_status,muae_shape_status,lfp_shape_status,warnings,truth_status
230629,AAAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230629,AXAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230629,AAXB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230629,AAAX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230629,BBBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230629,BXBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230629,BBXA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230629,BBBX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230629,RRRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230629,RXRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230629,RRXR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230629,RRRX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230630,AAAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230630,AXAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230630,AAXB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230630,AAAX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230630,BBBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230630,BXBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230630,BBXA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230630,BBBX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230630,RRRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230630,RXRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230630,RRXR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230630,RRRX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230714,AAAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230714,AXAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230714,AAXB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230714,AAAX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230714,BBBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230714,BXBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230714,BBXA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230714,BBBX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230714,RRRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230714,RXRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230714,RRXR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230714,RRRX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230719,AAAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230719,AXAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230719,AAXB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230719,AAAX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230719,BBBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230719,BXBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230719,BBXA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230719,BBBX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230719,RRRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230719,RXRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230719,RRXR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230719,RRRX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230720,AAAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230720,AXAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230720,AAXB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230720,AAAX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230720,BBBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230720,BXBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230720,BBXA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230720,BBBX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230720,RRRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230720,RXRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230720,RRXR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230720,RRRX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230721,AAAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230721,AXAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230721,AAXB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230721,AAAX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230721,BBBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230721,BXBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230721,BBXA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230721,BBBX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230721,RRRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230721,RXRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230721,RRXR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230721,RRRX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230816,AAAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230816,AXAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230816,AAXB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230816,AAAX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230816,BBBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230816,BXBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230816,BBXA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230816,BBBX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230816,RRRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230816,RXRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230816,RRXR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230816,RRRX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230818,AAAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230818,AXAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230818,AAXB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230818,AAAX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230818,BBBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230818,BXBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230818,BBXA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230818,BBBX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230818,RRRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230818,RXRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230818,RRXR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230818,RRRX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230823,AAAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230823,AXAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230823,AAXB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230823,AAAX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230823,BBBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230823,BXBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230823,BBXA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230823,BBBX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230823,RRRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230823,RXRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230823,RRXR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230823,RRRX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230825,AAAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230825,AXAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230825,AAXB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230825,AAAX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230825,BBBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230825,BXBA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230825,BBXA,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230825,BBBX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230825,RRRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230825,RXRR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230825,RRXR,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230825,RRRX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230830,AAAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230830,AXAB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230830,AAXB,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
230830,AAAX,yes,yes,no,yes,expected_rank3,missing,expected_rank3,None,truth_safe_unverified
